0.000600 0.000480 0.000384 0.000307 0.000246 0.000197 0.000157 0.000126 0.000101 0.000081 0.000064 
200 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 
300 400.000000 32.000000 42.666667 42.666667 42.666667 40.000000 40.000000 40.000000 40.000000 40.000000 32.000000 
400 400.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 
500 400.000000 40.000000 40.000000 40.000000 40.000000 40.000000 38.400000 38.400000 38.400000 40.000000 40.000000 
600 400.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 
700 400.000000 41.142857 41.142857 41.142857 41.142857 40.000000 40.000000 40.000000 40.000000 40.000000 34.285714 
800 400.000000 41.000000 41.000000 41.000000 41.000000 40.000000 40.000000 38.000000 38.000000 38.000000 35.000000 
900 400.000000 37.333333 37.333333 37.333333 37.333333 37.333333 37.333333 39.111111 39.111111 39.111111 37.333333 
1000 400.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.000000 36.800000 36.800000 36.800000 36.000000 
1100 400.000000 37.090909 37.090909 37.090909 36.363636 36.363636 36.363636 40.727273 40.727273 41.454545 36.363636 
